n;tmin;tmax;tmoy
10;0.08357800999874598;0.14858231300240732;0.10014990409981692
15;0.11819330100115621;0.21609097699911217;0.14991348279982047
20;0.16178224499890348;0.3921383579981921;0.21768296399895917
25;0.21318083599908277;0.43369866499779164;0.3035513680995791
30;0.2580939910003508;0.6547542000007525;0.43020234490068104
35;0.34318345200154;0.7898066869965987;0.4649051620996033
40;0.4698854590023984;0.8079854480020003;0.6218644788004895
45;0.5434349789975386;1.154535757003032;0.7637460751997424
50;0.5108675410010619;1.7794042260029528;1.1369496028000867
55;0.6211336960004701;1.6535879949988157;1.0322341492003033
60;0.7329547900008038;1.7357725740002934;1.3796471887002553
65;1.1146049720009614;2.1859410520009988;1.6299266523004916
70;0.9807122720012558;2.800397126000462;1.9210338553995825
75;1.0076517179986695;3.309694727002352;1.9941677518003416
80;1.2992509540017636;3.8116964799992274;2.330346692399689
85;1.7711223410005914;5.463019329999952;3.284711984900059
90;1.68523866599935;4.921951161999459;3.1542776471989784
95;1.628203542000847;4.882827299999917;3.17041208580049
100;2.1485012950033706;4.922191891000693;3.2910005781002836
105;2.7514932089979993;5.864684618998581;4.4724745358995275
110;2.3197098979981092;5.657875052002055;4.15369337090051
115;2.2942660699991393;8.855882433999795;4.53996348750079
120;2.7700247279972245;8.67564382600176;5.363832833399647
125;3.811340863998339;12.540896541999246;6.70866879799978
130;3.7987362339990796;10.470783626999037;7.683805369600305
135;6.083632910002052;11.540100426998833;8.501515027299684
140;5.857928083998559;17.952834963001806;9.245063492700137
145;4.004479762999836;13.209089666001091;8.834321170600742
150;6.6349735600015265;16.35391454799901;9.43519464649944
155;7.837926965999941;12.914651105998928;10.607544745099585
160;5.716874682002526;20.75984516600147;10.819934127300439
165;5.671244596000179;17.241649930001586;10.406289797500358
170;7.9976643759982835;31.54510079800093;18.523600009699294
175;11.035788959998172;34.33836478199737;16.09136725999997
180;7.6337199400004465;34.25773505899997;17.3857572611003
185;17.50684989599904;32.59068980400116;22.65687538159982
190;13.592600405998382;36.96691364599974;22.829489462099446
195;8.785690595999768;38.23383279799964;18.807294892200296
200;18.731205806001526;46.96111609700165;27.47649686830082
205;13.398930094001116;46.40934501299853;28.236396248400343
210;18.19774408699959;66.97804632200132;28.602275997900506
215;15.497332032002305;85.50289245100066;28.26439289300033
220;10.935731517998647;54.982422986999154;27.700819517599665
225;14.102519113002927;58.34922952100169;35.792279491101
230;22.467023454999435;55.427931853999326;35.70523255090084
235;17.117803159999312;52.94507701799739;33.088331451599515
240;29.8704747160009;88.77147172900004;46.4674251214994
245;21.188672463998955;67.55373051499919;43.524734774700484
250;31.007626564998645;109.5113134649946;47.81370131420044
255;28.673997828998836;71.45053901999927;44.88815645439827
260;29.923074273996463;70.37314960500225;43.43211339140034
265;25.174377433999325;82.92062566899403;52.430190330497865
270;24.663163344004715;77.37213859700569;55.96014443360109
275;32.01000722900062;302.94396747899737;85.03023043800059
280;32.64697862900357;198.86014306300058;67.5419182627018
285;25.82688301500457;161.34145918899594;66.24057907300012
290;41.71925549000298;169.77519875000144;76.91146876499988
295;41.20246747800411;146.09759177300293;68.83983938180172
300;42.80168954400142;181.5289765369962;74.95821403759983
305;47.04863205800211;259.1407470230042;112.69539097719971
310;34.6147789989991;122.66248493299645;73.7874549977998
315;41.990401748000295;296.3211296189984;98.13547699779956
320;63.83967462799774;226.47509659400384;112.52394192319989
325;47.53645220799808;190.96862884900474;95.97485038790037
330;61.08949248199497;191.41727028199966;99.63304375329827
335;64.11938293099956;150.33155228199757;98.92832702530067
340;41.53872502599552;286.3497617949979;110.36249946950048
345;60.999315629997;183.97756509899773;96.05027418329992
350;79.59601861699775;330.2848993459993;132.1465253519993
355;67.36878757900558;257.69842843899823;138.88111183429936
360;66.31970352899953;353.2431389389967;162.06567504459818
365;67.16258153100353;205.46182104400214;113.76469251200106
370;72.82556576000206;235.58641790399997;151.88599517679904
375;77.00356095499592;249.93878537599812;149.42181736860147
380;121.03782468300051;371.8952701809976;180.7138520994995
385;92.26361493100558;259.30700707600045;186.99004969570015
390;56.80610826300108;304.6552395690014;152.16113087669873
