n;Tchif;Tdechif;Tsign;Tverif
1;0.09225058570009423;0.0545800175000295;0.04429273820005619;0.09689809870005775
11;0.10809841819973372;0.07051322920005987;0.04352339019997089;0.09690622370007987
21;0.12399767729975793;0.08584882559998733;0.04511405040002501;0.09676521990004402
31;0.14001703960011583;0.10135382699991169;0.043215736299953275;0.09689711479995822
41;0.17158780939998905;0.13277651479993438;0.046786293599961934;0.09703520279999793
51;0.18758697389985174;0.14822046489998683;0.0428891709000709;0.09644530629993824
61;0.20376577299994098;0.16407672430013917;0.04591188380009044;0.09615550640019137
71;0.21925615029995243;0.1794079044998398;0.044274328000119566;0.09693281350009783
81;0.24991433370005325;0.2111516840999684;0.046908735899887685;0.09708793769996191
91;0.2657230316997811;0.22646259410012134;0.045645807799883184;0.09711224509983367
101;0.2823862812000698;0.24179032710007958;0.042768995499864106;0.09662380640002084
111;0.2975853797000127;0.25769409210006416;0.042766699000094374;0.09674812879993624
121;0.32901436570009535;0.289421080899956;0.042124261100070726;0.0966284115002054
131;0.3452647904000514;0.3052893781999956;0.04280630809989816;0.09670619769995029
141;0.3609644954000032;0.3208400840002469;0.047005257199998596;0.09658767800001442
151;0.3773747523999191;0.33676950609988127;0.04503837079992081;0.0962546599000234
161;0.40856798079994405;0.3673767958001008;0.04700498680003875;0.09621080629985954
171;0.42499609269998473;0.38316447430006517;0.045306765000168524;0.09647510750010042
181;0.44023784870014426;0.3992518492000272;0.04503774599979806;0.09647643569996944
191;0.4564385663999019;0.4156343417000244;0.04748318159981864;0.09657724790004067
201;0.48837013950005714;0.44601797239993174;0.04708165909987656;0.09692886559987528
211;0.5037353587000325;0.4616052573996967;0.04632721680018222;0.09669237829994018
221;0.5202062264000233;0.4778014604999953;0.04478081139986898;0.09684946100023809
231;0.5354570094998052;0.4935815675002232;0.04330858289995376;0.09659605179986101
241;0.567152876900036;0.5255557241999668;0.046196515100018584;0.0970095388001937
251;0.5828105636997861;0.5406889354999294;0.04195213450002484;0.09713774670008206
261;0.5988981378998688;0.555778782699963;0.04303113209998628;0.09667337060000136
271;0.6151599195998643;0.5718173466000736;0.04700979130011547;0.09671475590002956
281;0.646968329200081;0.6030732025998986;0.044657376099894466;0.09729241380009626
