n;tchif;tdechif;tsign;tverif
10;0.08070267739985866;0.04076529750000191;0.04473775579990615;0.11398715600007563
20;0.07568835680031043;0.04030773689992202;0.04280850089999148;0.11327606179984287
30;0.0758710512001926;0.040270976000101655;0.04317544660007115;0.11314142549999814
40;0.07564138769994315;0.04019266800023615;0.044575384600102554;0.11318569670002035
50;0.07564354429978266;0.04022873100020661;0.04442299289985385;0.11344468829975085
60;0.07540591200031485;0.04055371770009515;0.04624975710030412;0.11311727410029562
70;0.07637037769982272;0.04034867439986556;0.04761750220022805;0.11294209080006112
80;0.07591094710005564;0.040394675099923914;0.047212051100177635;0.11361833539976943
90;0.15111738849973336;0.08042502899988904;0.0914327921000222;0.225709617299799
100;0.15137335940034974;0.08072286480019102;0.08695536669983994;0.2268424073996357
110;0.15121102480025;0.08090216849996068;0.08846186289956677;0.22643045110035018
120;0.15167743989914015;0.08149556390035287;0.09448235790005129;0.22959341329951713
130;0.15291759540014027;0.08112658679965534;0.09128660380010842;0.22897267890020884
140;0.15143349540012424;0.08126462430045649;0.09416101160022664;0.22686113669951738
150;0.15164427309973688;0.08068601030063291;0.0894158545999744;0.2277188671994736
160;0.15163634100008494;0.0807607819997429;0.08936742219957523;0.22734237450004002
170;0.22715024819990504;0.12202226049957972;0.13591784820036992;0.34088081940026316
180;0.22750367839980754;0.12230904900006863;0.13581792030054202;0.34090297520015156
190;0.22777138859983098;0.12110244600007718;0.13507046139948214;0.34108058090041593
200;0.22738856299965846;0.12149308470070537;0.1350800499001707;0.3414002759000141
210;0.2278437119000955;0.12173217470080999;0.1381908191006005;0.34080305230090746
220;0.22763384589961788;0.12189484849932342;0.13172920630040608;0.34123043609979503
230;0.22798462459995789;0.12089666800002305;0.1346914429002936;0.3408280475001447
240;0.2279200724004113;0.12176289399976667;0.1356076218004091;0.340878875800081
250;0.30254735270063976;0.16078720389959927;0.18764344480023282;0.4538048468999477
260;0.30366184599970436;0.1618866444001469;0.1770277886002077;0.4546715935004613
270;0.30370799229858675;0.16092013729994506;0.18092600139989373;0.45470465059988785
280;0.3034802660002242;0.16215023520053365;0.18423055859966553;0.4560123844990812
290;0.30398206190002386;0.16181504020059947;0.17528645309939747;0.4553573174005578
300;0.3029416159011816;0.162853579700095;0.18171877329968994;0.45476930270033333
