n;chiffrement;déchiffrement;signature;vérification
10;4.784330085385591e-05;0.2298342882975703;0.22986114220693707;5.779649945907295e-05
20;5.717660242225975e-05;0.23089147740101906;0.23054770420421847;9.498350555077195e-05
30;9.317630028817802e-05;0.23025506600097287;0.2302445868990617;0.00011335839808452874
40;0.00014741560153197497;0.23015387899649795;0.23021631099691148;0.00016756629629526286
50;0.00018184759828727693;0.23016878000053112;0.23019017039914616;0.00020140459528192878
60;0.00022381069720722735;0.23047240239393432;0.23055681850528345;0.0002611022006021813
70;0.000261690400657244;0.23040640810795593;0.23034988250001334;0.00028684130520559845
80;0.0002986537991091609;0.23029388810100498;0.23033495039853732;0.00032277869759127497
90;0.0003253514034440741;0.2302893883024808;0.23025057060585824;0.00034359609708189964
100;0.000343731400789693;0.23023176370188594;0.2302299824048532;0.00035611700441222637
110;0.00036033539508935065;0.23020838890224696;0.2302265291014919;0.0003822051046881825
120;0.00037749680341221393;0.2301431650033919;0.23020875850052108;0.00038855939637869594
130;0.0004024754016427323;0.23023866450530478;0.2302467425033683;0.0004198141978122294
140;0.0004174339963356033;0.23023856009822338;0.23025397140008863;0.0004365484026493505
150;0.0004439598007593304;0.23032092909852508;0.23036068940127735;0.0004575954022584483
160;0.00046969939721748234;0.23022633099753875;0.23025740379816853;0.0004806158976862207
170;0.0009276119963033125;0.4604786250885809;0.4604705469973851;0.0009630181972170249
180;0.0009488097944995389;0.46043770339747425;0.4605056767031783;0.0009543307096464559
190;0.0009691949933767318;0.46040789640974256;0.46046735950221773;0.000959247091668658
200;0.000981210800819099;0.46064183159614913;0.46047245809750165;0.0009626063954783603
210;0.0010074082063511014;0.4603264330944512;0.46040510950260793;0.0009387263940880075
220;0.0010230748943286017;0.46035873439686836;0.4603951718978351;0.0009436379972612485
230;0.0010440275073051453;0.4604620195983443;0.46051672810281163;0.0009532263939036056
240;0.001069194302544929;0.46048154560266996;0.460519196401583;0.0009516117977909743
250;0.001081292808521539;0.4603166979009984;0.4603998533071717;0.0009397211950272321
260;0.001119084598030895;0.4603291613078909;0.4603664626949467;0.000947075299336575
270;0.0011184230039361863;0.46050158149737397;0.46039838420110757;0.0009521222993498669
280;0.0011423081974498927;0.46060094000422397;0.46068592320661994;0.0009838924946961925
290;0.0011554278898984194;0.4603419988066889;0.46047689889965115;0.0009452578990021721
300;0.0011670319945551455;0.4604448783036787;0.46043289929802994;0.0009575595002388581
310;0.001183791903895326;0.460445695699309;0.46049603380379267;0.0009567576955305413
320;0.0012077501974999904;0.46039150319993494;0.4603834617970278;0.0009611066052457318
330;0.001219145898357965;0.46058756920101585;0.46046072150638795;0.0009603148064343259
340;0.0016818560106912628;0.69071259649063;0.6907225761911832;0.00143665449868422
350;0.001709897187538445;0.690709482395323;0.6905655721056974;0.0014248371036956087
360;0.0017290847055846826;0.6905667435057694;0.6906264991004718;0.0014190456102369353
370;0.0017419333889847621;0.6906077477993676;0.6906358726002508;0.0014264672994613648
380;0.0017611363145988435;0.691087222888018;0.6909917442913865;0.0014717691985424608
390;0.001783261017408222;0.6906322943046689;0.6909372857044218;0.001445592098752968
400;0.0018151310971006751;0.6907768030039734;0.6907484387978912;0.0014529879990732297
410;0.0018371617014054209;0.6908073595899623;0.6906775171053596;0.0014427587972022592
420;0.0018374195991782472;0.6906854214001215;0.6905755746935028;0.001447907806141302
430;0.0018573094013845548;0.6910760624043177;0.6909325996035477;0.0014743756968528033
440;0.0018808302003890276;0.6908347809017868;0.6908136760001071;0.0014494593953713775
450;0.0018942309019621462;0.6908418925013393;0.690762616309803;0.0014697303995490074
460;0.0019217205001041294;0.6906484730978264;0.6906721913866931;0.0014502201054710894
470;0.0019361213082447648;0.6907361925026635;0.690681379698799;0.0014369804091984406
480;0.001969037594972178;0.6905369597050595;0.6905371572094736;0.0014210329914931207
490;0.0019918767065973952;0.6907454363099532;0.6906965718022547;0.0014518713142024353
500;0.0024572991038439795;0.9208757488173432;0.9208975087996805;0.001912741907290183
510;0.0024692464037798347;0.9207000939990394;0.920680229293066;0.0018902057927334681
520;0.0024900124029954896;0.9213140193925937;0.9211339991830755;0.0019075284944847226
530;0.0024946579040260987;0.9206925315957051;0.9206755524035544;0.0019051378010772168
540;0.0025057360908249393;0.9208156461041653;0.920846416495624;0.0019200340117095037
550;0.0025210855092154816;0.9206833189993631;0.9207380315987393;0.0018903514952398836
560;0.002558168416726403;0.9261028019012884;0.9256984619016293;0.0018884560005972162
570;0.0025757360039278866;0.9269954260089435;0.9271191018080571;0.00190848721540533
580;0.002591131592635065;0.9276701815077104;0.9273503193981014;0.0019260129920439795
590;0.0025810588005697353;0.9165672236966202;0.9169713029987179;0.0018797635013470427
600;0.0026049812033306806;0.9161227790027624;0.9161069296940696;0.0018673779879463837
610;0.002622314295149408;0.9161225520074368;0.9160813699039864;0.0018658207030966879
620;0.0026468660886166616;0.9162424740119605;0.9162823794962606;0.0018825656909029931
630;0.0026673551998101174;0.916666470799828;0.9167740526027046;0.0019283980887848883
640;0.0026803450047736986;0.9166691995109432;0.9171288254961837;0.0019011753058293835
650;0.0027077974955318496;0.91598075099173;0.9161914102965966;0.0018576443020720036
660;0.00273466219950933;0.9161322314961581;0.9161187577992678;0.0018806023872457445
670;0.0031983298918930813;1.1453961522027385;1.1454237147059758;0.002368733292678371
680;0.0032076321047497915;1.1452928998012795;1.145256566797616;0.0023511396924732254
690;0.0032355173112591728;1.145348051204928;1.1452832186070736;0.0023498274094890803
700;0.003259215204161592;1.1452368274010951;1.1451602964138146;0.0023627076065167786
